"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.443459969963809
2 -1.413251615904456
3 -1.400792120938417
4 -1.406423705564246
5 -1.422553681825461
6 -1.438519787791239
7 -1.452925210638127
8 -1.466847736038567
9 -1.484241293269096
10 -1.502375476175389
11 -1.517303241160331
12 -1.527969148337394
13 -1.534505817568939
14 -1.537817137378115
15 -1.539731052044558
16 -1.541304220240519
17 -1.543336253974946
18 -1.545803978117445
19 -1.548269927773331
20 -1.550462847135416
21 -1.552244122782505
22 -1.553575846658826
23 -1.554577747804299
24 -1.555348520849464
25 -1.5559670150882
26 -1.556484575198767
27 -1.556929944594024
28 -1.557318317395379
29 -1.557659628999777
30 -1.557957866553238
31 -1.558213837771152
32 -1.558428874640232
33 -1.558605810645183
34 -1.558749862239126
35 -1.558867708684317
36 -1.558965825102361
37 -1.559049032921625
38 -1.559120529804619
39 -1.559182061106412
40 -1.559234730728627
