"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.486542054637357
2 -1.481511917351745
3 -1.477896810782257
4 -1.475345574645569
5 -1.476922944378297
6 -1.484060400049884
7 -1.491754167542695
8 -1.499552216552892
9 -1.508116171838702
10 -1.51693699023717
11 -1.5243861546336
12 -1.530150058383562
13 -1.534148161539758
14 -1.53639194482762
15 -1.536993555104005
16 -1.53694780195748
17 -1.536865449993522
18 -1.537123756683355
19 -1.537751249949233
20 -1.538574816872488
21 -1.539361462118352
22 -1.539988112963822
23 -1.540425987590084
24 -1.540714254496213
25 -1.540913798355071
26 -1.541071530685034
27 -1.54120911969224
28 -1.541330904652392
29 -1.541435723340169
30 -1.541523214397396
31 -1.541594762971543
32 -1.541652671491463
33 -1.541699337661393
34 -1.541736854437841
35 -1.541766856047175
36 -1.541790365557889
37 -1.54180898382271
38 -1.541824563379218
