"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.166730526802858
2 -1.062073144408427
3 -1.090514775001976
4 -1.155357983315067
5 -1.228824062634847
6 -1.299137096596707
7 -1.359701620883862
8 -1.407064554204676
9 -1.443196808734221
10 -1.470141562276485
11 -1.490092207722232
12 -1.504650359535513
13 -1.515263282195815
14 -1.523138138132849
15 -1.529376832501571
16 -1.534437148451393
17 -1.538595114585652
18 -1.541921980103405
19 -1.544565638826539
20 -1.54650755349818
21 -1.54794170248614
22 -1.549036266922018
23 -1.549875802332563
24 -1.550518478322387
25 -1.551014264722737
26 -1.551413122165184
27 -1.551720697013631
28 -1.55196491740832
29 -1.552165686561961
30 -1.55232756225198
31 -1.552456778012812
32 -1.552558662454887
33 -1.552638147711703
34 -1.55270121254263
35 -1.552751258019512
36 -1.552790523383663
37 -1.552820809996517
38 -1.552844201921278
39 -1.552862194424049
40 -1.552876036564
41 -1.552886575445579
42 -1.552894428090134
43 -1.552900374590549
44 -1.552904952397391
45 -1.552908451641149
46 -1.552911082664559
47 -1.552912993934932
48 -1.552914295012322
49 -1.552915121408109
