"report-lift-rfile"
"Iteration" "report-lift"
("Iteration" "report-lift")
1 -294.0788500900667
2 -475.4672455004839
3 -617.1010785609853
4 -709.1562322420589
5 -789.4376969786301
6 -843.9045573330443
7 -877.6281689015656
8 -890.0485151111054
9 -882.7803386667392
10 -858.6850650738753
11 -815.4334721153086
12 -755.7511988202647
13 -691.9343738471126
14 -630.8872282827862
15 -582.8805685780537
16 -551.7846778274235
17 -540.3613857385095
18 -547.9272091747343
19 -571.6740531493036
20 -607.4606256441534
21 -641.863674450506
22 -676.8238367592616
23 -720.2138141915408
24 -756.843495247845
25 -787.5750043214941
26 -813.5486947005857
27 -834.7235135331002
28 -851.8370209101438
29 -865.2502970190508
30 -875.4436552171296
31 -883.8893085411597
32 -891.1741383429049
33 -897.354665136269
34 -902.855422094342
35 -907.8393599250639
36 -912.4280984184028
37 -916.7086714213434
38 -920.8032448795279
39 -924.2731158822977
40 -927.4567832394432
41 -930.5977834181975
42 -933.1875478898812
43 -935.5205370220327
44 -937.577568824015
45 -939.3203703577611
46 -940.8583657256667
47 -942.2049659193062
48 -943.3908124183772
49 -944.4491015301829
50 -945.3475000498594
51 -946.1452758016151
52 -946.8756873553655
53 -947.5044030635381
54 -948.044648885506
55 -948.5246763366458
56 -948.9649266174914
57 -949.353373618483
58 -949.6891100859868
59 -949.9763253196847
60 -950.2309870247404
61 -950.4517962891198
62 -950.6482908698493
63 -950.8226259327449
64 -950.979402320766
65 -951.1204970929466
66 -951.2468413496844
67 -951.360266187958
68 -951.4641769443252
69 -951.5613967026014
70 -951.6504467986575
71 -951.7200023715734
72 -951.7821488072949
73 -951.8385549603099
74 -951.8891167475804
75 -951.933784852924
76 -951.972607874773
77 -952.0097322051641
78 -952.0442537302046
79 -952.0751607474642
80 -952.1030890572516
81 -952.1288521044156
82 -952.1522504966592
83 -952.1734881642132
84 -952.1935697451654
85 -952.2120977141922
86 -952.2290702760478
87 -952.244798709831
88 -952.2588978795196
89 -952.2716395245346
90 -952.282892513866
91 -952.2931493976104
92 -952.3022222047555
93 -952.3102660331861
94 -952.3174167747795
95 -952.3238788825424
96 -952.3296735814088
97 -952.3346668981882
98 -952.33907315836
