"report-drag-rfile"
"Iteration" "report-drag"
("Iteration" "report-drag")
1 102.5956040212901
2 83.5487925257497
3 78.37409794010236
4 70.38783320280602
5 64.52351492859975
6 60.88245337140145
7 56.85471335877514
8 53.25696528175563
9 49.34970285817871
10 45.22711014884435
11 42.04316136958534
12 39.65939223269726
13 37.64115642061556
14 36.14127336031241
15 35.51035755562415
16 35.54524225458687
17 36.43682664469531
18 37.99285791553346
19 39.88426516969019
20 41.83593925414137
21 44.687564637175
22 45.40689577006261
23 45.9332768683282
24 46.69378754887721
25 46.41184818007706
26 45.90578334416632
27 45.22100366639086
28 44.74099409790737
29 44.29160808693747
30 43.87235552064452
31 43.51426793140269
32 43.25907386933314
33 43.09425905825619
34 42.96128328703791
35 42.89727533906824
36 42.88309757283073
37 42.85841886097216
38 42.83210610587947
39 42.87744948731762
40 42.82223191490103
41 42.78095425703421
42 42.77341550947859
43 42.72351912412035
44 42.68148163082041
45 42.6415668180411
46 42.60410093718087
47 42.57128932363584
48 42.53947749064615
49 42.51337856478889
50 42.49126953652448
51 42.46841264651874
52 42.44697203012158
53 42.42914112389276
54 42.41134876355575
55 42.39688378245538
56 42.38362383098345
57 42.37172311500586
58 42.36095260699667
59 42.34991422240277
60 42.34097597497991
61 42.33236082881027
62 42.32512558014384
63 42.31857827099502
64 42.3127662205017
65 42.30780826776283
66 42.30359964124155
67 42.29958186144053
68 42.29610526279782
69 42.29227039678155
70 42.28967162377592
71 42.28721762853256
72 42.28471466514504
73 42.2828102060535
74 42.28086195234501
75 42.27910966666103
76 42.27745473354594
77 42.27610156502147
78 42.27498989231418
79 42.2739461696263
80 42.27294171440851
81 42.27208673403693
82 42.2712569202895
83 42.27053568296692
84 42.26993812777516
85 42.26939285276053
86 42.26887687702568
87 42.26840596063166
88 42.2679535637289
89 42.26759352006325
90 42.26719958452367
91 42.26686661222311
92 42.26656221092846
93 42.26626547623157
94 42.26600708039796
95 42.26577770491036
96 42.26557240150444
97 42.265395192811
98 42.26525278633639
