"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 -349.5135951985507
2 -638.6991817012207
3 -857.7524192641802
4 -1004.855316470068
5 -1133.392326454271
6 -1222.255991530568
7 -1277.616796610389
8 -1300.643668161563
9 -1291.6195603452
10 -1255.94639279262
11 -1189.701031143582
12 -1097.019547429923
13 -996.7093303877474
14 -900.0167199086877
15 -823.4039157227324
16 -772.7430212516829
17 -752.481485938265
18 -762.0067580499586
19 -797.3216378578908
20 -852.1002630899353
21 -905.9495029983897
22 -959.2665443224009
23 -1026.442560162402
24 -1083.098423495952
25 -1129.593983719888
26 -1170.573611104214
27 -1205.590913662699
28 -1235.682639154267
29 -1259.869986862544
30 -1278.789023432636
31 -1294.532440037051
32 -1308.013978626243
33 -1319.223733244529
34 -1328.988075619139
35 -1337.65168496141
36 -1345.461248084738
37 -1352.693419171628
38 -1359.534893385333
39 -1365.308065941747
40 -1370.591797975846
41 -1375.801667470842
42 -1380.105824161549
43 -1383.972051432547
44 -1387.381836085429
45 -1390.260352070635
46 -1392.796631548931
47 -1395.014608962445
48 -1396.960162507518
49 -1398.69139375934
50 -1400.157078966927
51 -1401.446856429696
52 -1402.635883075166
53 -1403.660224689288
54 -1404.53537470394
55 -1405.313475020813
56 -1406.026076709005
57 -1406.655258817774
58 -1407.198514445358
59 -1407.664350577056
60 -1408.076838970141
61 -1408.435729271617
62 -1408.754399077681
63 -1409.038806429142
64 -1409.292901600966
65 -1409.522499775318
66 -1409.727547733812
67 -1409.913095970787
68 -1410.082201702045
69 -1410.240376218393
70 -1410.383617633247
71 -1410.497103409356
72 -1410.601342025973
73 -1410.695862412955
74 -1410.779761468527
75 -1410.853884578945
76 -1410.918405455139
77 -1410.980554373312
78 -1411.038231972001
79 -1411.089872540902
80 -1411.136061262202
81 -1411.179007003327
82 -1411.217850670778
83 -1411.253163110257
84 -1411.28661058408
85 -1411.317245124016
86 -1411.345454774991
87 -1411.371503422086
88 -1411.394673578137
89 -1411.415451161088
90 -1411.433948137189
91 -1411.450810985817
92 -1411.46563930689
93 -1411.478725602979
94 -1411.490278094701
95 -1411.500724368181
96 -1411.510012439795
97 -1411.517999386978
98 -1411.525193726235
