"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.125535478557574
2 -1.011325003531106
3 -1.040317064325659
4 -1.115342830001694
5 -1.201626533682712
6 -1.275321431994376
7 -1.332761884163038
8 -1.37418828430359
9 -1.40337582802905
10 -1.423771347699391
11 -1.438359828285122
12 -1.449414406671859
13 -1.457722086137191
14 -1.464198649116766
15 -1.469049946641533
16 -1.472710087773126
17 -1.475397526204604
18 -1.477298686435685
19 -1.478713569273545
20 -1.479781784003797
21 -1.480570464338475
22 -1.481175668025019
23 -1.481628168596759
24 -1.481988236215402
25 -1.48225534083783
26 -1.482461300852907
27 -1.482618742939718
28 -1.482753039272554
29 -1.48285443248263
30 -1.482934519533446
31 -1.482990902722841
32 -1.483035107732118
33 -1.483067175661435
34 -1.48309279173452
35 -1.483113545241567
36 -1.483130894416615
37 -1.483145759056349
38 -1.483157566957708
39 -1.483167911913719
40 -1.483175683025416
41 -1.483176623018339
42 -1.48317855815205
43 -1.483180706454467
44 -1.483179554939625
45 -1.483180826575138
46 -1.483182236056214
47 -1.483183601214718
48 -1.483184678839653
49 -1.483185834716994
50 -1.483187363011559
