"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.06972585135267
2 -0.9193177768204789
3 -0.9117135373947739
4 -0.9566758701493184
5 -1.022468243442993
6 -1.087166682206126
7 -1.143027600331678
8 -1.185977132954785
9 -1.219624467661455
10 -1.244266975162011
11 -1.262628374845675
12 -1.275984521330993
13 -1.285838515966112
14 -1.293142843826049
15 -1.298560913745069
16 -1.30260873991937
17 -1.305633963997115
18 -1.307925094774573
19 -1.309633781447568
20 -1.310949584667122
21 -1.311950848726943
22 -1.312723450704119
23 -1.313302915830557
24 -1.313733297427879
25 -1.314053169599928
26 -1.314293106222064
27 -1.314473090597225
28 -1.314608252591601
29 -1.31471073656714
30 -1.314786938535996
31 -1.314846972253464
32 -1.314891758497934
33 -1.314924345078166
34 -1.314949056201951
35 -1.314967313946109
36 -1.314980472244673
37 -1.314990379496132
38 -1.31499787198615
39 -1.315004389392883
40 -1.315009687969502
41 -1.31501252551589
42 -1.315015687259887
43 -1.315018709336512
44 -1.315019831125719
45 -1.31502198680211
46 -1.31502360918251
47 -1.315025198589164
48 -1.315026684482836
