"report-cd-rfile"
"Iteration" "report-cd"
("Iteration" "report-cd")
1 0.08699953725922664
2 0.06314499212042557
3 0.04979938426354893
4 0.04257076851777685
5 0.03821899761173281
6 0.03537721982227832
7 0.03268666123254046
8 0.03086106227785497
9 0.02925333563877489
10 0.02812522476874579
11 0.02730588603293004
12 0.02666452469298439
13 0.02618937749886961
14 0.02583399840393682
15 0.02559015315894676
16 0.0253970518092289
17 0.02526433235265026
18 0.02516451436781232
19 0.02509329785150045
20 0.02503976683477585
21 0.02500178977675935
22 0.0249720918545417
23 0.02495235744317931
24 0.02493865755438125
25 0.02492735792969666
26 0.02491975183472355
27 0.02491406503881233
28 0.02490903310796693
29 0.02490558135997779
30 0.02490286911675526
31 0.0249011298897216
32 0.02489996576927334
33 0.02489871373750524
34 0.02489833668891008
35 0.02489743614541059
36 0.02489694153098315
37 0.02489664017841135
38 0.02489613605101944
39 0.02489595040853991
40 0.02489582668202839
41 0.02489578982000373
42 0.0248956836029955
43 0.02489555452417472
44 0.02489549014282559
45 0.02489543448616366
46 0.02489543125860138
47 0.02489547862302765
48 0.02489537906190398
