"report-drag-rfile"
"Iteration" "report-drag"
("Iteration" "report-drag")
1 4.201201421552653
2 15.54906339533561
3 20.16266559144508
4 23.8732921857717
5 26.19130363449445
6 27.01767153171799
7 27.26778194483847
8 26.9547626914645
9 26.65061579145546
10 26.0234337940821
11 25.4882082678487
12 24.86274852439876
13 24.21072570290207
14 23.76708612126106
15 23.2443344876653
16 22.8719759778744
17 22.57666407576849
18 22.26004295139338
19 21.95637682145207
20 21.73575717918717
21 21.56238872042935
22 21.43762109276384
23 21.28652673521948
24 21.12290196449146
25 21.06895858064354
26 21.00255661939861
27 20.95769336313789
28 20.90339622184339
29 20.84845597908429
30 20.81007116020317
31 20.75615243083178
32 20.73126012181232
33 20.70766031733048
34 20.69562790949896
35 20.67210288358899
36 20.66837795809638
37 20.65450251937483
38 20.64578988654856
39 20.64008240225565
40 20.63212530170836
41 20.62694040193607
42 20.62418605390138
43 20.61970955411758
44 20.61889018490399
45 20.61552991315129
46 20.61306329032944
47 20.61284055077794
48 20.61054096638215
49 20.6103159460561
50 20.6085948990303
51 20.60784972492824
52 20.60727325394786
53 20.60651881092502
54 20.60587735139288
55 20.60598208169014
56 20.60546096373641
57 20.60535285841993
58 20.60486162653685
59 20.60475575539271
60 20.60434062167266
61 20.60424605392575
62 20.60391673396795
63 20.60383662554367
64 20.60369056245052
65 20.60372577504793
66 20.60349462481512
