"report-cd-rfile"
"Iteration" "report-cd"
("Iteration" "report-cd")
1 0.06229910883283114
2 0.04840016878553495
3 0.0406676298843694
4 0.03646744989005691
5 0.03304574953360169
6 0.03017733718049893
7 0.02786677531817395
8 0.02623191929966971
9 0.02501200225531341
10 0.02390500454372776
11 0.02308957568102016
12 0.02245068166214832
13 0.02194380937705336
14 0.02157046138263989
15 0.02134641525774025
16 0.02114974247478046
17 0.0210056316957304
18 0.02090152791480696
19 0.02082726790851027
20 0.02077047643725887
21 0.02073186899351849
22 0.02070308803636856
23 0.0206792498197232
24 0.0206634652896445
25 0.02065231759145895
26 0.02064321644175006
27 0.02063606522706361
28 0.02063149238905567
29 0.02062786847169924
30 0.02062520046434292
31 0.02062317439307708
32 0.02062162671240115
33 0.02062049169286077
34 0.02061962356606504
35 0.02061896002426422
36 0.02061846008336194
37 0.02061814411066134
38 0.02061787604365949
39 0.02061766995811111
40 0.0206175088098987
41 0.02061740071796972
42 0.02061729129827791
43 0.02061723214514969
44 0.02061718575600595
45 0.02061715423300204
46 0.02061713327719468
47 0.02061712659307544
48 0.02061712676171494
