"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -0.9769124201343194
2 -0.7730950536091313
3 -0.7240022255879039
4 -0.7363362371086075
5 -0.773290942334891
6 -0.8108204262070414
7 -0.8453346828950475
8 -0.8717106590512873
9 -0.8920563913314778
10 -0.9067382936725632
11 -0.9175758311210134
12 -0.9258095498174014
13 -0.9318203571522825
14 -0.9363072580747656
15 -0.9394634885663987
16 -0.941851642359409
17 -0.9435105801665001
18 -0.9447521642201006
19 -0.9456220635134706
20 -0.9462626049487483
21 -0.9467222183251557
22 -0.9470605784647295
23 -0.9473124931981172
24 -0.9474984625173517
25 -0.9476395609603049
26 -0.9477425914322275
27 -0.9478181448224413
28 -0.9478874632598426
29 -0.9479329897358137
30 -0.9479606279139599
31 -0.9479802537420491
32 -0.9479938909197814
33 -0.9480051862774563
34 -0.9480121330083641
35 -0.9480174385097756
36 -0.9480215871715325
37 -0.9480250131618493
38 -0.9480274761029136
39 -0.9480289689016828
40 -0.9480303076962096
41 -0.9480316951028561
42 -0.9480327565724807
43 -0.9480338133568016
44 -0.9480346638524495
