"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.568900463645357
2 -1.558052221868053
3 -1.557433557518731
4 -1.55646616692537
5 -1.546477013138981
6 -1.520436568776403
7 -1.489736015728572
8 -1.466940193272033
9 -1.453108277996052
10 -1.450553188282033
11 -1.456092843115437
12 -1.466694848146995
13 -1.47794394823837
14 -1.485588955085376
15 -1.488688682594541
16 -1.488463656493146
17 -1.486910170553904
18 -1.48554906838318
19 -1.485127878584455
20 -1.485747223894205
21 -1.487045524726404
22 -1.488575777988661
23 -1.490007845496831
24 -1.491144868822399
25 -1.491926507561212
26 -1.492401272515403
27 -1.492669735591999
28 -1.492839424483335
29 -1.492994038993787
30 -1.493177387218675
31 -1.493392813274867
32 -1.49361840610851
33 -1.493826642633566
34 -1.493998130324271
35 -1.494126842900784
36 -1.494218092757981
