"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.352626696402843
2 -1.285738433182814
3 -1.269711508577892
4 -1.30275668733901
5 -1.365572340269792
6 -1.437475241758383
7 -1.500039242652417
8 -1.541115432013733
9 -1.563390649380693
10 -1.57200463718299
11 -1.572654037352532
12 -1.570649072543464
13 -1.570515969819371
14 -1.572552717890744
15 -1.575986094167521
16 -1.579975760287208
17 -1.583595144716467
18 -1.586362395829594
19 -1.588115500015004
20 -1.588997254965316
21 -1.589306179561822
22 -1.589338831902367
23 -1.589291723494443
24 -1.589279084405044
25 -1.589336439826989
26 -1.589446930518674
27 -1.589581569585106
28 -1.589714088178134
29 -1.589827176725653
30 -1.589912830545126
31 -1.589971114483681
32 -1.590006566739534
33 -1.590026654261057
34 -1.590037454033475
35 -1.590041813668736
36 -1.590042210515901
37 -1.590040823249615
38 -1.59003902899637
39 -1.590037411934457
40 -1.590036326903949
41 -1.590035788220171
42 -1.590035618386295
43 -1.590035191539385
44 -1.59003415574041
45 -1.590032365271125
46 -1.590029989061577
47 -1.590027403300297
48 -1.590024639799609
49 -1.590021814681748
50 -1.590019045006742
51 -1.590016452126731
52 -1.590014065424649
