"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.655221198594609
2 -1.652996416190354
3 -1.663711454561015
4 -1.644999109710911
5 -1.587059865444547
6 -1.525195219397797
7 -1.467576886361823
8 -1.417388488841284
9 -1.383484419807179
10 -1.368922944928916
11 -1.373164245651306
12 -1.390292132380959
13 -1.408580170476714
14 -1.418229996543521
15 -1.416320391859188
16 -1.406045165785425
17 -1.3936367259011
18 -1.384362152728638
19 -1.38023861589759
20 -1.380430600736675
21 -1.382848227172129
22 -1.38545915177621
23 -1.387092162244232
24 -1.387435877006328
25 -1.386758303180394
26 -1.385590425135906
27 -1.384448777825359
28 -1.383683620252183
29 -1.383402699210623
30 -1.383503836022413
31 -1.383784702445681
32 -1.384051600437533
33 -1.384188780695313
34 -1.384175666569423
35 -1.384060524637996
36 -1.383915130890761
37 -1.383797394796271
38 -1.383734064043229
39 -1.383722168162032
