"report-cd-rfile"
"Iteration" "report-cd"
("Iteration" "report-cd")
1 0.1452549679781183
2 0.1053001355485277
3 0.08435597884346595
4 0.07399875289494177
5 0.06926770113394548
6 0.06684440961458819
7 0.06565694970848594
8 0.06501342412472094
9 0.06465918769642795
10 0.0644264467958252
11 0.06436076673145566
12 0.06423061409486469
13 0.06413473917670676
14 0.06406889548912852
15 0.06397460199570018
16 0.06390747050167037
17 0.06389236173655284
18 0.06389204398423731
19 0.0638918036762354
20 0.0639002676927202
21 0.06390314349890643
22 0.06390717796150318
23 0.0639077587964586
24 0.06391178268625648
25 0.06391601086544806
26 0.06391723134676364
27 0.06391896920273547
28 0.06391969894535947
29 0.06392152945304323
30 0.06392363587555423
31 0.06392476547868722
32 0.06392649659933372
33 0.06392674018913073
