"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.524387901321932
2 -1.513017001264803
3 -1.508844218707734
4 -1.510276019964274
5 -1.507178702657206
6 -1.499316413884321
7 -1.489672989598229
8 -1.482766836892165
9 -1.482185600458539
10 -1.487871838727458
11 -1.495929056382143
12 -1.504739958556472
13 -1.512246228254404
14 -1.516221306669617
15 -1.518057323073513
16 -1.518945136246909
17 -1.519804917155409
18 -1.520813866182628
19 -1.521827329169563
20 -1.522903904139985
21 -1.523827466645477
22 -1.524722137276685
23 -1.525651245781856
24 -1.526395997795976
25 -1.526893450987904
26 -1.52716917224506
27 -1.527316166426181
28 -1.527414812822719
29 -1.527529900812092
30 -1.527663982342295
31 -1.527822740807139
32 -1.527964561454368
33 -1.528070965167484
