"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.420850558245981
2 -1.368373288140274
3 -1.349440484191073
4 -1.365049978987662
5 -1.386399355876427
6 -1.401783297308931
7 -1.419984875597743
8 -1.442149085371495
9 -1.46743966004025
10 -1.49302597748891
11 -1.513201167211065
12 -1.52653364886711
13 -1.534930690837753
14 -1.540652054926635
15 -1.545252720146561
16 -1.549407921110907
17 -1.553350629125162
18 -1.556923453367336
19 -1.559968692062391
20 -1.562550259406806
21 -1.564810923015842
22 -1.566766273748091
23 -1.568353595265269
24 -1.569577614522095
25 -1.570523429711918
26 -1.571290436675531
27 -1.571920866737096
28 -1.572519373356842
29 -1.573057324842204
30 -1.573504595275598
31 -1.573862363884973
32 -1.574140970738083
33 -1.574361110586234
34 -1.574540808480099
35 -1.574693368098643
36 -1.574825218154466
37 -1.574938755998808
38 -1.575034542962172
39 -1.575114007361137
40 -1.575179902808288
41 -1.575234579570215
42 -1.575280005379145
43 -1.575318040672024
44 -1.575350105556763
45 -1.575377204847569
46 -1.575400039732805
47 -1.575419589136116
48 -1.575436515491179
