"report-cd-rfile"
"Iteration" "report-cd"
("Iteration" "report-cd")
1 0.05138747827663341
2 0.04150540112886687
3 0.03596070478082092
4 0.03331830432698842
5 0.03062060884719713
6 0.02849980200033294
7 0.02667243513076831
8 0.02508200903314507
9 0.02377695910040907
10 0.02263798989825109
11 0.02171812941059907
12 0.02098979343709727
13 0.02044664619033642
14 0.02001959664268392
15 0.01970751569570665
16 0.01946796764172953
17 0.0192961168197192
18 0.01916757678474863
19 0.01907251509542018
20 0.01900206581774562
21 0.01895028939966929
22 0.01891375086418565
23 0.01888569566067939
24 0.01886576517994369
25 0.01885109954923374
26 0.01884007152607138
27 0.01883228924474151
28 0.0188264021250726
29 0.01882213600164717
30 0.018819099516307
31 0.01881670288766571
32 0.01881507808616902
33 0.01881387390450757
34 0.01881282056348582
35 0.01881210461255819
36 0.01881149905043825
37 0.01881108218309146
38 0.01881075806115926
39 0.01881051154846913
40 0.01881025761525984
41 0.0188100663370481
42 0.01880999792163565
43 0.01880991370798881
44 0.01880989117396879
45 0.01880987455191277
46 0.01880994168642055
