"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -0.9879661113020128
2 -0.7897706502135976
3 -0.7443388411177985
4 -0.7659819420960452
5 -0.8121718053302637
6 -0.8582971960735963
7 -0.8991122322211537
8 -0.9305458667900747
9 -0.9538263198886088
10 -0.9707240012717526
11 -0.9828635142130475
12 -0.9918341453427681
13 -0.9982701050160918
14 -1.003074752242738
15 -1.006528037467074
16 -1.009072141204032
17 -1.010928361659771
18 -1.012254785465512
19 -1.013234330162079
20 -1.013932158789422
21 -1.014450664699416
22 -1.014818667108159
23 -1.015095957540335
24 -1.01529770151114
25 -1.01545214716545
26 -1.015562413212737
27 -1.015646220096318
28 -1.01570827603822
29 -1.015754405603031
30 -1.015789122892947
31 -1.015813763864619
32 -1.015830572618886
33 -1.0158456387027
34 -1.015857435483039
35 -1.015866798416131
36 -1.015873974258868
37 -1.015878777616222
38 -1.015882585271022
39 -1.015885109653099
40 -1.015889005888273
41 -1.015890737004686
42 -1.015891247832358
43 -1.015891810167313
44 -1.015891714788084
45 -1.015891576346718
46 -1.015891339491162
