"report-cd-rfile"
"Iteration" "report-cd"
("Iteration" "report-cd")
1 0.1008181818955971
2 0.08384904602517453
3 0.0734137145237848
4 0.06690827746062553
5 0.062908251112046
6 0.06000602762960386
7 0.05800717500566131
8 0.05669126671910078
9 0.05591557386456862
10 0.05544906664649391
11 0.05517217163372429
12 0.05504868398272657
13 0.05503474713683167
14 0.05509945110674302
15 0.05521867402243055
16 0.05533336663833633
17 0.05541838188796845
18 0.05546433865836846
19 0.05547829661850325
20 0.05546752438937218
21 0.05544851554259214
22 0.05543071116781104
23 0.05541687168076664
24 0.0554077162137986
25 0.05540235658872684
26 0.05539907018985379
27 0.05539681526993791
28 0.05539495593097013
29 0.05539286598874053
30 0.05539051236754148
31 0.05538813232316148
32 0.05538590635737901
33 0.05538411158016674
34 0.0553827221956287
35 0.05538166014357982
36 0.05538094422938757
37 0.05538052838304445
38 0.05538028890719817
39 0.05538011803872667
40 0.05538000565414989
41 0.05537991007823245
42 0.05537983016729571
43 0.055379750549926
44 0.0553796870846326
45 0.05537963178691926
46 0.05537959048580985
47 0.05537956271480073
48 0.05537954721983782
49 0.05537953771479211
50 0.05537953057720978
