"report-cl-rfile"
"Iteration" "report-cl"
("Iteration" "report-cl")
1 -1.389202827519729
2 -1.333859774124288
3 -1.321534548327065
4 -1.3461115461792
5 -1.383231674184023
6 -1.422352111360027
7 -1.457906934657617
8 -1.489773659901847
9 -1.518355499127686
10 -1.54118096865897
11 -1.557681538002543
12 -1.566149738621541
13 -1.568939526214459
14 -1.568595493623241
15 -1.567778363460363
16 -1.56780042055357
17 -1.568798245693924
18 -1.570410381226738
19 -1.572195108548351
20 -1.573809502499941
21 -1.575116365828745
22 -1.576101468185531
23 -1.576797658358805
24 -1.577233936351956
25 -1.577483824107584
26 -1.577616549392417
27 -1.577682164709278
28 -1.57773161298299
29 -1.57778379831171
30 -1.577862847172836
31 -1.577949831051648
32 -1.578029970519247
33 -1.578097747576247
34 -1.5781508050239
35 -1.578191189892506
36 -1.57822028859795
37 -1.57824015073432
38 -1.578252763094794
39 -1.578260128497369
40 -1.578264339053434
41 -1.578267407886999
42 -1.578270407774233
43 -1.578273604536834
44 -1.578276565499987
45 -1.578278885079213
46 -1.578280359984181
47 -1.578281053670233
48 -1.578281173499066
